interval_no,interval_name,max_ma,min_ma,X_Ft,X_bL,X_FL,X_bt,sampled_in_bin,implied_in_bin,n_occs
922,Late Pleistocene,0.126,0.0117,0,1065,529,0,1594,73,8704
923,Middle Pleistocene,0.781,0.126,44,130,61,1021,621,33,2534
740,Calabrian,1.806,0.781,66,195,84,1085,839,35,5064
741,Gelasian,2.588,1.806,13,31,15,1267,240,16,2451
96,Piacenzian,3.6,2.588,67,220,91,1231,927,41,3787
97,Zanclean,5.333,3.6,218,255,198,1233,1342,65,6875
98,Messinian,7.246,5.333,47,145,146,1441,669,35,2342
99,Tortonian,11.62,7.246,322,268,289,1264,1561,74,7619
100,Serravallian,13.82,11.62,177,171,253,1355,1161,65,3520
101,Langhian,15.97,13.82,81,61,118,1445,523,45,1375
102,Burdigalian,20.44,15.97,389,179,551,1117,1705,78,6513
103,Aquitanian,23.03,20.44,86,24,41,1210,309,30,598
104,Chattian,28.1,23.03,107,106,104,1127,575,48,2293
105,Rupelian,33.9,28.1,230,97,232,1003,900,41,3264
106,Priabonian,38,33.9,121,178,168,979,734,43,4034
107,Bartonian,41.3,38,81,52,101,1076,451,28,1120
108,Lutetian,47.8,41.3,301,114,313,827,1074,44,3980
109,Ypresian,56,47.8,200,111,470,741,1048,53,3298
110,Thanetian,59.2,56,99,71,115,753,493,18,1944
743,Selandian,61.6,59.2,83,26,68,741,305,5,625
111,Danian,66,61.6,76,55,84,691,343,9,2654
112,Maastrichtian,72.1,66,93,285,351,653,951,52,9627
113,Campanian,83.6,72.1,154,154,313,784,917,65,3938
114,Santonian,86.3,83.6,49,46,72,889,326,12,1309
115,Coniacian,89.8,86.3,57,59,44,878,303,14,1068
116,Turonian,93.9,89.8,77,114,190,860,653,34,3009
117,Cenomanian,100.5,93.9,225,236,1903,749,2720,84,10121
118,Albian,113,100.5,182,178,241,803,947,44,4952
119,Aptian,125,113,193,254,709,788,1498,43,4733
120,Barremian,129.4,125,215,104,742,827,1291,42,3228
121,Hauterivian,132.9,129.4,34,16,21,897,166,4,404
122,Valanginian,139.8,132.9,78,57,72,835,348,13,2110
123,Berriasian,145,139.8,30,81,49,862,298,3,1783
124,Tithonian,152.1,145,80,146,176,863,653,50,2826
125,Kimmeridgian,157.3,152.1,59,73,44,950,448,13,1822
126,Oxfordian,163.5,157.3,218,228,905,805,1721,10,8720
127,Callovian,166.1,163.5,106,46,84,927,575,16,5262
128,Bathonian,168.3,166.1,126,57,126,847,634,25,3637
129,Bajocian,170.3,168.3,127,57,68,777,497,10,2399
130,Aalenian,174.1,170.3,72,28,23,762,319,8,1923
131,Toarcian,182.7,174.1,122,59,154,668,563,13,2467
132,Pliensbachian,190.8,182.7,79,58,112,648,421,8,1911
133,Sinemurian,199.3,190.8,115,59,184,591,515,11,2610
134,Hettangian,201.3,199.3,45,4,15,605,133,0,341
135,Rhaetian,208.5,201.3,21,134,45,588,347,3,1600
136,Norian,228,208.5,151,310,406,571,1171,14,8128
137,Carnian,237,228,214,133,205,667,846,17,3346
138,Ladinian,242,237,106,83,345,694,735,8,3035
139,Anisian,247.2,242,227,106,334,550,920,11,8209
652,Olenekian,251.2,247.2,132,121,269,524,684,8,5609
653,Induan,252.17,251.2,96,82,59,549,366,7,5175
715,Changhsingian,254.17,252.17,76,576,266,555,1203,21,17954
716,Wuchiapingian,259.9,254.17,176,262,345,955,1391,8,17281
145,Capitanian,265.1,259.9,125,209,179,1092,1052,14,6502
146,Wordian,268.8,265.1,171,141,150,1130,1051,16,7407
717,Roadian,272.3,268.8,99,44,57,1172,571,6,2749
148,Kungurian,279.3,272.3,182,76,109,1034,782,6,4462
149,Artinskian,290.1,279.3,229,78,192,881,871,4,3684
150,Sakmarian,295.5,290.1,228,38,117,731,665,3,2948
151,Asselian,298.9,295.5,144,21,45,625,382,6,1908
49,Gzhelian,303.7,298.9,125,24,22,521,269,0,1155
50,Kasimovian,307,303.7,19,2,13,526,47,6,156
51,Moscovian,315.2,307,69,15,71,459,231,11,622
52,Bashkirian,323.2,315.2,54,49,94,420,280,4,1197
53,Serpukhovian,330.9,323.2,14,22,13,455,90,0,194
54,Visean,346.7,330.9,158,31,96,319,353,4,1200
55,Tournaisian,358.9,346.7,62,44,108,288,270,7,1290
177,Famennian,372.2,358.9,49,89,165,283,368,9,1670
178,Frasnian,382.7,372.2,74,113,93,298,384,10,2107
179,Givetian,387.7,382.7,75,106,138,336,469,13,3274
180,Eifelian,393.3,387.7,59,133,96,383,446,6,1788
181,Emsian,407.6,393.3,160,124,254,356,731,12,3681
182,Pragian,410.8,407.6,98,44,72,382,359,7,1269
183,Lochkovian,419.2,410.8,118,51,95,308,411,2,1392
184,Ludfordian,425.6,423,90,76,106,269,387,1,1360
185,Gorstian,427.4,425.6,5,1,5,340,22,0,29
785,Homerian,430.5,427.4,54,35,32,287,215,4,585
188,Sheinwoodian,433.4,430.5,1,5,5,321,30,0,38
189,Telychian,438.5,433.4,68,65,92,258,316,5,1287
190,Aeronian,440.8,438.5,57,6,17,266,134,1,269
191,Rhuddanian,443.4,440.8,19,23,14,253,92,4,360
192,Hirnantian,445.2,443.4,23,51,31,253,165,3,602
1008,Katian,453,445.2,109,174,243,195,650,5,3377
1009,Sandbian,458.4,453,99,73,62,270,365,5,1094
556,Darriwilian,467.3,458.4,109,114,178,234,555,6,2035
1079,Dapingian,470,467.3,13,13,20,335,100,2,250
1010,Floian,477.7,470,174,70,136,174,483,11,3016
559,Tremadocian,485.4,477.7,197,12,113,47,338,0,1505
1112,Stage 10,489.5,485.4,0,0,0,59,0,0,0
1113,Jiangshanian,494,489.5,0,0,0,59,0,0,0
1086,Paibian,497,494,2,32,26,57,68,0,417
1087,Guzhangian,500.5,497,23,58,67,66,162,6,1673
1116,Drumian,504.5,500.5,54,29,55,70,158,2,1324
1117,Stage 5,509,504.5,0,0,0,99,0,0,0
1118,Stage 4,514,509,42,44,130,57,228,1,1241
1119,Stage 3,521,514,72,44,552,29,684,6,4131
1120,Stage 2,529,521,32,34,39,41,131,0,410
1121,Fortunian,541,529,75,0,60,0,135,0,760
